"Kierunek","kierunek_lc"
"KROMERA","kromera"
"KROMERA ","kromera "
"KROMERA 105/305(24141)","kromera 105/305(24141)"
"KROMERA 128/147(24144)","kromera 128/147(24144)"
"KROMERA Z/t(24002)","kromera z/t(24002)"
"krzyki","krzyki"
"Krzyki","krzyki"
"KRZYKI","krzyki"
"KRZYKI126","krzyki126"
"KRZYKI ","krzyki "
"KRZYKI 112(11314)","krzyki 112(11314)"
"KRZYKI 112 Bie(11313)","krzyki 112 bie(11313)"
"KRZYKI 126(11310)","krzyki 126(11310)"
"KRZYKI 126 (11310)","krzyki 126 (11310)"
"KRZYKI D(11316)","krzyki d(11316)"
"KRZYKI Pn/a(11308)","krzyki pn/a(11308)"
"KRZYKI Pn/t(11216)","krzyki pn/t(11216)"
"KRZYKI Pn/t (112168)","krzyki pn/t (112168)"
"Krzyżanowice","krzyżanowice"
"KRZYŻANOWICE","krzyżanowice"
"KRZYŻANOWICE ","krzyżanowice "
"KRZYŻANOWICE 130(227911)","krzyżanowice 130(227911)"
"KSIĄŻE MAŁE","książe małe"
"KSIĄŻE WIELKIE 134 (25134)","książe wielkie 134 (25134)"
"KSIĘŻE","księże"
"Księże Małe","księże małe"
"KSIĘŻE MAŁE","księże małe"
"KSIĘŻE MAŁE 3/5(25014)","księże małe 3/5(25014)"
"KSIĘŻE WIELKIE","księże wielkie"
"KSIĘŻE WIELKIE 134(25014)","księże wielkie 134(25014)"
"KSIĘŻE WIELKIE 134(25134)","księże wielkie 134(25134)"
"KUŹNIKI Z/a(12911)","kuźniki z/a(12911)"
"Kwiska","kwiska"
"Kwiska ","kwiska "
"Kwiska PnZ/a(12303)","kwiska pnz/a(12303)"
"Leśnica","leśnica"
"LEŚNICA","leśnica"
"LEŚNICA ","leśnica "
"LEŚNICA 10(1820:4)","leśnica 10(1820:4)"
"LEŚNICA 10(18204)","leśnica 10(18204)"
"LEŚNICA 117/917(18383)","leśnica 117/917(18383)"
"LEŚNICA 123/138(18388)","leśnica 123/138(18388)"
"LEŚNICA 137/917(18386)","leśnica 137/917(18386)"
"LEŚNICA 20(18202)","leśnica 20(18202)"
"LEŚNICA 20(18204)","leśnica 20(18204)"
"LEŚNICA 253/923(18384)","leśnica 253/923(18384)"
"LEŚNICA 403(18385)","leśnica 403(18385)"
"LEŚNICA 409(18387)","leśnica 409(18387)"
"LG","lg"
"LG ELECTRONICS","lg electronics"
"Litewska","litewska"
"LITEWSKA","litewska"
"LITEWSKA (Pętla)","litewska (pętla)"
"LITEWSKA PĘTLA","litewska pętla"
"Litewska (Pętla) ","litewska (pętla) "
"LITEWSKA (Pętla) ","litewska (pętla) "
"LiTEWSKA (Pętla) 131/331(29328)","litewska (pętla) 131/331(29328)"
"LITEWSKA (Pętla) 131/331(29328)","litewska (pętla) 131/331(29328)"
"LITEWSLKA (pętla)","litewslka (pętla)"
"Łozina","łozina"
"ŁOZINA","łozina"
"ŁOZINA ","łozina "
"ŁOZINA Pd/a(326120)","łozina pd/a(326120)"
"ŁOZINA P.JANUSZKOWICE","łozina p.januszkowice"
"ŁOZINA W/a(326219)","łozina w/a(326219)"
"Łozina - Milicka PdZ/a(326244)","łozina - milicka pdz/a(326244)"
"Marino","marino"
"MARINO","marino"
"MARINO ","marino "
"MARINO 1/7/15(23022)","marino 1/7/15(23022)"
"Mokronos","mokronos"
"Mokry Dwór","mokry dwór"
"MOKRY DWÓR","mokry dwór"
"MOKRY DWÓR 100(524947)","mokry dwór 100(524947)"
"mosty Mieszczańskie aw1/t(10650)","mosty mieszczańskie aw1/t(10650)"
"mosty Mieszczańskie aw2/t(10649)","mosty mieszczańskie aw2/t(10649)"
"Norwida","norwida"
"Norwida ","norwida "
"Norwida 911(20925)","norwida 911(20925)"
"Norwida 911(20925)Plac Grunwaldzki","norwida 911(20925)plac grunwaldzki"
"Nowy Dwór","nowy dwór"
"NOWY DWÓR","nowy dwór"
"Nowy Dwór (Pętla)","nowy dwór (pętla)"
"NOWY DWÓR (Pętla) ","nowy dwór (pętla) "
"NOWY DWÓR (Pętla) 122/210(12136)","nowy dwór (pętla) 122/210(12136)"
"NOWY DWÓR (Pętla) 124(12142)","nowy dwór (pętla) 124(12142)"
"NOWY DWÓR (Pętla) 134(12142)","nowy dwór (pętla) 134(12142)"
"NOWY DWÓR (Pętla) 142(12138)","nowy dwór (pętla) 142(12138)"
"NOWY DWÓR (Pętla) 149(12140)","nowy dwór (pętla) 149(12140)"
"Obornicka - zajezdnia","obornicka - zajezdnia"
"OPATOWICE","opatowice"
"OPATOWICE W/a(25511)","opatowice w/a(25511)"
"oporów","oporów"
"Oporów","oporów"
"OPORÓW ","oporów "
"OPORÓW 4/5/20(11511)","oporów 4/5/20(11511)"
"OPORÓW 4/5/20(11611)","oporów 4/5/20(11611)"
"ORZECHOWA","orzechowa"
"Orzechowa 255(21171)","orzechowa 255(21171)"
"Osiedle Sobieskiego","osiedle sobieskiego"
"OSIEDLE SOBIESKIEGO","osiedle sobieskiego"
"OSIEDLE SOBIESKIEGO ","osiedle sobieskiego "
"OSIEDLE SOBIESKIEGO 141(29532)","osiedle sobieskiego 141(29532)"
"OSIEDLE SOBIESKIEGO D(29530)","osiedle sobieskiego d(29530)"
"O.Sobieskiego","o.sobieskiego"
"Osobowice","osobowice"
"OSOBOWICE","osobowice"
"OSOBOWICE ","osobowice "
"OSOBOWICE 14/24(23204)","osobowice 14/24(23204)"
"Os.Sobieskiego","os.sobieskiego"
